Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,Nuclei Border - Nuclei,Nuclei Border - Nucleus Area [µm²],Nuclei Border - Nucleus Roundness,Nuclei Border - Nucleus Width [µm],Nuclei Border - Nucleus Length [µm],Nuclei Border - Nucleus Ratio Width to Length,Unnamed: 20,Group
2,2,0,1,50,981,947,"[950,864,1055,982]",83.36,-70.43,,,,,1,63.1884,0.85233,5.09952,13.4045,0.380433,,Ad
2,2,0,1,51,933,937,"[825,883,964,970]",66.42,-70.31,,,,,1,63.1221,0.79426,5.09952,14.5848,0.349645,,Ad
2,2,0,1,52,724,991,"[666,955,809,1078]",36.87,-87.24,,,,,1,49.7215,0.974574,6.20298,9.21671,0.673014,,Ad
2,2,0,1,53,359,995,"[292,899,401,1078]",-35.1,-79.75,,,,,1,64.8137,0.871264,6.44426,9.85837,0.653685,,Ad
2,2,0,1,54,540,991,"[480,960,575,1025]",-1.8,-82.64,,,,,1,42.59,0.867083,4.9005,8.77233,0.558631,,Ad
2,2,0,1,55,969,1011,"[936,961,999,1068]",78.04,-85.92,,,,,1,46.4045,0.802973,4.73527,11.9816,0.395212,,Ad
2,2,0,1,56,636,1011,"[616,984,662,1072]",17.9,-86.91,,,,,1,39.074,0.959918,5.70144,7.90727,0.721037,,Ad
2,2,0,1,57,673,1033,"[637,982,725,1078]",25.37,-90.51,,,,,1,51.4795,0.77798,4.74926,11.9733,0.396654,,Ad
2,2,0,1,58,605,1048,"[579,1011,635,1078]",12.09,-92.19,,,,,1,37.8467,0.951927,5.17698,8.39558,0.616632,,Ad
2,2,0,1,59,172,1056,"[124,1006,217,1078]",-67.27,-93.15,,,,,0,56.9193,0.870328,5.92958,12.0602,0.491664,,Ad
2,2,0,2,1,572,30,"[442,1,640,120]",-1025.8,1116.4,,,,,1,30.284,0.951937,4.74926,7.2508,0.654998,,Ad
2,2,0,2,2,948,87,"[869,1,1018,191]",-953.3,1105.6,,,,,1,31.3123,1.01698,5.21529,6.64696,0.784612,,Ad
2,2,0,2,3,22,120,"[1,94,74,239]",-1119.26,1094.36,,,,,0,17.9448,0.854297,3.43634,5.87902,0.584509,,Ad
2,2,0,2,4,152,102,"[79,49,316,277]",-1089.87,1094.73,,,,,1,34.6956,0.904842,4.40127,8.96125,0.491144,,Ad
2,2,0,2,5,326,212,"[258,165,544,329]",-1050.1,1079.01,,,,,1,79.8396,0.792087,6.93035,12.2675,0.564937,,Ad
2,2,0,2,6,743,78,"[664,1,866,275]",-985.47,1099.82,,,,,1,26.7348,0.986284,4.95435,6.36138,0.778818,,Ad
2,2,0,2,7,667,135,"[616,58,744,247]",-1000.83,1096.1,,,,,1,55.9906,0.793937,4.85972,12.9194,0.376157,,Ad
2,2,0,2,8,682,252,"[644,223,750,315]",-997.14,1074.72,,,,,1,36.7521,0.945479,5.46377,8.19566,0.666667,,Ad
2,2,0,2,9,293,358,"[216,252,428,422]",-1066.15,1061.05,,,,,1,32.241,0.923482,4.40127,7.28503,0.604152,,Ad
2,2,0,2,10,981,432,"[939,389,1078,477]",-939.44,1046.18,,,,,1,40.7656,0.801554,4.24786,10.5884,0.401182,,Ad
2,2,0,2,11,937,437,"[856,414,973,519]",-954.35,1038.4,,,,,1,28.128,0.955482,4.95435,7.00888,0.706868,,Ad
2,2,0,2,12,993,474,"[963,454,1031,501]",-942.14,1036.52,,,,,1,31.6108,0.94351,4.74926,7.25308,0.654791,,Ad
2,2,0,2,13,263,472,"[239,416,326,488]",-1073.7,1040.35,,,,,1,14.4288,0.804163,2.30373,6.29059,0.366218,,Ad
2,2,0,2,14,254,506,"[209,451,291,538]",-1078.08,1033.19,,,,,1,25.01,0.948514,4.38617,7.03722,0.623281,,Ad
2,2,0,2,15,552,415,"[481,329,689,545]",-1016.92,1042.73,,,,,1,16.7507,0.855279,3.43634,6.28004,0.547185,,Ad
2,2,0,2,16,785,385,"[661,327,910,573]",-980.5,1041.47,,,,,1,39.3393,0.791567,3.93998,11.4797,0.343213,,Ad
2,2,0,2,17,143,524,"[122,495,180,550]",-1095.83,1028.03,,,,,1,16.8834,1.00226,4.02329,4.90388,0.820429,,Ad
2,2,0,2,18,210,543,"[154,454,253,607]",-1086.31,1024.4,,,,,1,49.4229,0.801081,5.83939,9.38787,0.622015,,Ad
2,2,0,2,19,114,562,"[4,509,170,645]",-1106.38,1019.33,,,,,1,26.2041,0.916526,4.73527,6.3744,0.742857,,Ad
2,2,0,2,20,772,589,"[721,537,855,718]",-980.89,1010.95,,,,,1,48.9586,0.802875,4.60746,12.2675,0.375583,,Ad
2,2,0,2,21,934,611,"[848,561,1003,663]",-954.47,1012.09,,,,,1,45.2104,0.73082,3.87204,12.8085,0.302303,,Ad
2,2,0,2,22,705,632,"[664,591,748,672]",-994.32,1008.94,,,,,1,39.0408,0.787976,4.12103,10.833,0.380414,,Ad
2,2,0,2,23,836,705,"[749,638,926,777]",-970.21,994.72,,,,,1,94.0694,0.892488,6.77547,16.5854,0.408519,,Ad
2,2,0,2,24,1010,728,"[970,676,1053,784]",-939.69,990.27,,,,,1,20.9965,0.978775,4.38617,5.43333,0.80727,,Ad
2,2,0,2,25,984,808,"[937,716,1020,862]",-946.55,979.67,,,,,1,30.5493,0.979207,5.06034,7.25766,0.697242,,Ad
2,2,0,2,26,773,799,"[718,747,820,859]",-982.19,978.07,,,,,1,52.1429,0.826804,4.88694,12.3845,0.3946,,Ad
2,2,0,2,27,639,833,"[577,794,694,891]",-1007.3,970.18,,,,,1,31.8761,0.948128,5.25331,6.89436,0.761971,,Ad
2,2,0,2,28,305,838,"[224,777,526,926]",-1055.1,968.22,,,,,1,33.7336,0.958581,4.9005,7.84621,0.624569,,Ad
2,2,0,2,29,802,901,"[750,832,852,945]",-978.18,961.38,,,,,1,21.5272,0.965692,4.24786,5.8649,0.724286,,Ad
2,2,0,2,30,503,1006,"[340,866,622,1078]",-1032.27,943.6,,,,,1,74.2671,0.482033,4.9005,13.5998,0.360336,,Ad
2,2,0,2,31,640,1002,"[597,959,701,1066]",-1007.34,940.28,,,,,1,57.2178,0.968776,7.71835,8.88131,0.869055,,Ad
2,2,0,2,32,175,991,"[97,874,265,1053]",-1093.07,945.02,,,,,1,30.483,0.989511,5.4759,6.59939,0.829759,,Ad
2,2,0,2,33,685,1033,"[650,1001,729,1078]",-997.67,934.96,,,,,1,42.0924,0.751488,3.66068,12.462,0.293748,,Ad
2,2,0,2,34,272,1048,"[167,1014,389,1078]",-1072.39,931.52,,,,,1,22.6881,0.982311,4.73527,5.47893,0.864269,,Ad
2,2,0,3,1,31,31,"[1,1,81,127]",-913.14,1114.78,,,,,0,32.4069,0.906534,4.40127,7.82293,0.562611,,Ad
2,2,0,3,2,569,50,"[422,1,634,160]",-816.36,1113.34,,,,,1,86.5731,0.815774,6.77547,14.9886,0.452041,,Ad
2,2,0,3,3,128,101,"[7,1,223,249]",-896.36,1106.64,,,,,1,22.8871,0.987353,4.40127,5.71596,0.769996,,Ad
2,2,0,3,4,270,85,"[206,1,336,129]",-869.29,1111.1,,,,,1,31.2459,0.89687,4.24786,8.44875,0.50278,,Ad
2,2,0,3,5,966,71,"[837,1,1070,118]",-744.25,1112.0,,,,,1,35.8565,0.894807,4.9005,8.79688,0.557073,,Ad
2,2,0,3,6,837,158,"[775,66,881,188]",-768.26,1099.59,,,,,1,43.6514,1.00307,6.80478,7.75479,0.877493,,Ad
2,2,0,3,7,677,160,"[638,54,747,196]",-795.21,1098.07,,,,,1,25.0763,0.987344,4.95435,5.92958,0.835532,,Ad
2,2,0,3,8,396,162,"[300,86,482,342]",-847.83,1086.51,,,,,1,23.3515,0.999028,4.79098,5.61053,0.853925,,Ad
2,2,0,3,9,585,277,"[558,239,612,322]",-811.69,1072.61,,,,,1,23.9486,0.961083,4.26345,6.07874,0.701371,,Ad
2,2,0,3,10,262,265,"[133,120,302,317]",-877.06,1080.64,,,,,1,18.177,0.925081,3.6059,6.01291,0.599694,,Ad
2,2,0,3,11,726,360,"[648,318,827,469]",-784.21,1053.46,,,,,1,21.9584,0.977025,4.43131,5.47893,0.808791,,Ad
2,2,0,3,12,890,507,"[850,402,952,554]",-754.33,1034.91,,,,,1,28.4928,0.929225,4.24786,6.56663,0.646886,,Ad
2,2,0,3,13,451,421,"[400,335,620,553]",-829.92,1041.76,,,,,1,53.6023,0.888119,5.17698,12.3872,0.417929,,Ad
2,2,0,3,14,51,556,"[1,510,99,668]",-910.91,1018.48,,,,,0,90.7193,0.688709,4.85972,17.5947,0.276204,,Ad
2,2,0,3,15,418,570,"[338,477,446,631]",-845.44,1022.6,,,,,1,30.8147,0.843631,3.93998,8.16321,0.482651,,Ad
2,2,0,3,16,665,599,"[640,502,720,622]",-793.94,1019.17,,,,,1,25.5075,0.984376,4.73527,6.05414,0.782154,,Ad
2,2,0,3,17,884,609,"[833,506,1046,636]",-748.3,1016.84,,,,,1,32.3737,0.786212,3.92311,7.12388,0.550698,,Ad
2,2,0,3,18,1006,651,"[965,604,1033,678]",-736.15,1006.09,,,,,1,30.085,0.90639,4.95435,6.83639,0.724704,,Ad
2,2,0,3,19,315,652,"[251,615,388,708]",-862.19,1002.26,,,,,1,60.0704,0.694139,5.37811,13.5522,0.396845,,Ad
2,2,0,3,20,781,680,"[732,615,836,706]",-774.25,1002.31,,,,,1,26.6021,0.913697,4.38617,6.43654,0.681448,,Ad
2,2,0,3,21,540,775,"[499,653,581,831]",-819.58,984.87,,,,,1,50.7166,0.673441,4.38617,13.2589,0.330808,,Ad
2,2,0,3,22,615,765,"[543,617,679,837]",-807.18,989.77,,,,,1,37.6808,0.959288,5.17698,8.40348,0.616053,,Ad
2,2,0,3,23,486,764,"[419,678,513,802]",-832.81,987.76,,,,,1,29.6869,0.951848,4.38617,7.03486,0.62349,,Ad
2,2,0,3,24,746,811,"[605,783,774,904]",-788.58,971.7,,,,,1,35.1931,0.931512,5.11251,7.23018,0.707107,,Ad
2,2,0,3,25,260,943,"[171,858,304,1078]",-874.41,943.92,,,,,1,102.03,0.734765,5.82802,19.9924,0.291512,,Ad
2,2,0,3,26,28,924,"[1,889,189,1059]",-904.3,947.88,,,,,1,43.8173,0.751524,4.38617,12.5759,0.348775,,Ad
2,2,0,3,27,751,960,"[721,931,787,983]",-780.68,948.56,,,,,1,32.241,0.791887,4.12103,9.32405,0.441979,,Ad
2,2,0,3,28,689,971,"[561,890,733,1063]",-796.63,946.35,,,,,1,48.8259,0.820863,5.4759,9.56116,0.572723,,Ad
2,2,0,4,1,83,154,"[36,123,140,192]",-697.36,1095.63,,,,,1,38.875,0.807035,4.40127,8.13268,0.541183,,Ad
2,2,0,4,2,314,173,"[284,114,362,202]",-655.64,1093.73,,,,,1,25.8724,0.920746,4.38617,6.46738,0.678198,,Ad
2,2,0,4,3,218,194,"[178,138,257,242]",-673.42,1087.96,,,,,1,24.0149,0.988448,4.79098,5.83087,0.821658,,Ad
2,2,0,4,4,27,283,"[1,232,83,342]",-707.23,1070.96,,,,,0,52.5741,0.712316,4.74926,13.1333,0.36162,,Ad
2,2,0,4,5,190,318,"[155,247,251,359]",-676.57,1066.87,,,,,1,23.6832,0.918508,4.63616,6.31427,0.734235,,Ad
2,2,0,4,6,25,516,"[1,475,95,558]",-706.32,1028.79,,,,,1,38.6096,0.848774,4.9005,9.43193,0.519565,,Ad
2,2,0,4,7,65,567,"[18,509,179,604]",-696.35,1022.28,,,,,1,42.391,0.754683,3.8029,12.9348,0.294006,,Ad
2,2,0,4,8,268,594,"[200,560,351,633]",-663.09,1015.29,,,,,1,33.0703,0.990608,5.51212,6.62947,0.831457,,Ad
2,2,0,4,9,700,565,"[652,482,788,668]",-583.27,1017.88,,,,,1,44.6465,0.810939,4.79098,11.8731,0.403514,,Ad
2,2,0,4,10,645,779,"[534,664,704,871]",-600.72,980.55,,,,,1,43.0875,0.90521,5.07343,10.2784,0.493601,,Ad
2,2,0,4,11,225,829,"[165,749,371,891]",-667.05,972.52,,,,,1,47.0679,0.79056,4.88694,12.2513,0.398893,,Ad
